location,company,ad_date,salary,role,title,job_description,work_type,url,extra_info/0,extra_info/1,extra_info/2
Sydney,MCS Consulting,8d ago,$140k to $160k base + super,software-engineer,Senior Software Engineer - Data Visualisation - Mining Tech,Build and design advanced data visualisation software and a digital ecosystem to be integrated with modern mine sites.,Full time,https://www.seek.com.au/job/72133071,,,
Melbourne,Wesfarmers,12d ago,,engineer,Senior Engineer,The Engineering function houses the capabilities and roles necessary to develop our Digital ecosystem platform,Full time,https://www.seek.com.au/job/72070992,Convenient City location,Exciting projects,Strong Engineering team
Melbourne,Profusion Group,1d ago,$1100 -1200 pd + GST min 12+mths contract,python-developer,Senior Python Developer - Investments,Finance + Banking giant seeks a Senior Python Developer with excellent Investments or FX Trading or Finance Modeling experience for min 12- 36 mths.,Contract/Temp,https://www.seek.com.au/job/72289395,,,
Sydney,TheDriveGroup,15d ago,"$180,000-200,000+super+equity",golang-engineer,Senior Golang Engineer,Interested to join a Fast-paced Dynamic Team working across Niche and Exploding Markets with Cutting Edge Technology? WFH Remote/Hybrid Available,Full time,https://www.seek.com.au/job/71969659,,,
Melbourne,Lookahead,7d ago,up to $220k base + super + options,engineer,Principal engineer (Golang & Infrastructure),"Join a global, high-performing team for a company leading the cloud monitoring space. Competitive salary & options.",Full time,https://www.seek.com.au/job/72140882,"Competitive salary, up to $220k base + super + equity","Remote first global company, work regular hours asynchronously","High-performing, senior team working on a global scale"
Melbourne,Blackmagic Design,16d ago,,software-engineer,Software Engineer - Golang - Permanent,GoLang helping develop Film and Digital Video products that are changing the industry. What you create gets used worldwide.,Full time,https://www.seek.com.au/job/71946040,Building products from the ground up,Long term range of projects,Collaborative and creative technical team
Sydney,Aurec Group,19d ago,100% Remote,golang-engineer,Senior Golang Engineer,"Greenfield Golang project working across cutting edge AI/ML, 3D Imaging  and Cloud.",Contract/Temp,https://www.seek.com.au/job/71899557,,,
Sydney,,15d ago,,backend-engineer,Backend Software Engineer (Golang/Typescript),"Join Carted as a Software Engineer and innovate in ecommerce, shaping the future of online shopping with a dynamic, diverse team. Apply now!",Full time,https://www.seek.com.au/job/71975789,,,
Melbourne,Just Digital People,26d ago,,software-engineer,Senior Golang Software Engineer,"Senior Software Engineer position with a fast growing fintech, Java and Golang exp required",Full time,https://www.seek.com.au/job/71746292,,,
Sydney,FIRESOFT People,27d ago,,go-software-developer,Senior Golang Developer,Senior Golang Engineer,Full time,https://www.seek.com.au/job/71703356,,,
